type,date,title,link,word_count,locked,video_count,symbols,concepts,excerpt
post,2026-06-01T12:21:28,ETH analysis 1st June 2026,https://venture-charts.com/eth-analysis-1st-june-2026/,147,false,1,BTC|ETH,supplyDemand|timeCycle|riskControl|tradePlanning,ETH flashed the warning on 12th may when it gave back the entire mid-cycle move and then proceeded to move below that price point. This tells us that the asset is likely to correct for the entire phase and rally attempts should be treated with caution and are likely to fail and set up a…
post,2026-05-20T15:10:23,Bitcoin analysis May 18th 2026,https://venture-charts.com/bitcoin-analysis-may-18th-2026/,97,false,1,BTC|ETH,supplyDemand|timeCycle|technicalTools|riskControl|tradePlanning,The Bitcoin market followed the forecast will a rally from March into mid May where it stalled at 83k (the Q on the 1:1 extension on the SR). That likely sets an intermediate top. Ethereum had a negative break on the 12th May and that is a warning for the cryptocurrency sector. The analysis suggests…
post,2026-05-03T09:53:18,Bitcoin Update 3rd May 2024,https://venture-charts.com/bitcoin-update-3rd-may-2024/,126,false,1,BTC,supplyDemand|moneyFlow|timeCycle|riskControl|tradePlanning,This was last week’s text update for theBTC market: “The very ltf the patterns are bullish telling us that conditions have indeed changed and a move into the mid 80ks can set up after a period of consolidation”. BTC tapped into the 80ks and it has dropped into the ltf pivot into the technical confluence…
post,2026-04-24T19:20:51,Bitcoin analysis 24th April 2026,https://venture-charts.com/bitcoin-analysis-24th-april-2026/,271,false,1,BTC|DOGE|SPX,supplyDemand|moneyFlow|timeCycle|correlatedMarkets|technicalTools|riskControl|tradePlanning,” BTC and the crypto currency market have somewhat stabilised in recent weeks as these assets have based into the phase and for the very first time in several months BTC flipped an SR which triggered long positions in coins such as DOGE (which itself based in phase after an 85% washout). On the lower…
post,2026-04-07T13:49:43,Bitcoin & NAS100 analysis 5th April 2026,https://venture-charts.com/bitcoin-nas100-analysis-5th-april-2026/,125,false,0,BTC|NAS100,moneyFlow|timeCycle|correlatedMarkets|riskControl,"BTC and the CryptoMarket are still trading in negative conditions. In the prior updates I suggested the ltf was neutral / slightly positive and a move towards range highs was likely and BTC hit $76,000 and subsequently got hit back down to $65,000. A loss of $63,300 in this phase would be quite a negative…"
post,2026-03-29T19:52:04,BTC analysis 25th March 2026,https://venture-charts.com/btc-analysis-25th-march-2026-3/,122,false,1,BTC|NAS100,supplyDemand|moneyFlow|timeCycle|correlatedMarkets|riskControl,“On the ltf BTC‘s conditions have somewhat improvedand we would anticipate this given the move into the ltf pivot. The forecast for sometime in this market has been another consolidation period which could test range highs (around $76-$80k) and that is due to the amount of time this market needs to consume in this phase. Because…
post,2026-03-29T19:46:29,TAO analysis 26th March 2026,https://venture-charts.com/btc-analysis-25th-march-2026-2/,70,false,1,TAO,supplyDemand,"TAO (a crypto currency) has been trading in a wide range for 3 years. Whilst making lower highs and lower lows, it has moved quickly in both directions. This video explains why and that is because there is no demand inside value, therefore there is no force strong enough to stop and turn the asset…."
post,2026-03-29T19:41:18,15th March 2026 XOP sector analysis & Discord trade planning video for L2 members,https://venture-charts.com/15th-march-2026-xop-sector-analysis-discord-trade-planning-video-for-l2-members-2/,49,false,1,XOP,riskControl|tradePlanning,A recent Level 2 trade planning analysis for the XOP sector where two bullish trades were taken in the Oil and Gas exploration sector (FANG and OVV). Both charts suggest a major shift had occurred which set up a very low risk and high conviction/ reward long side trade.
post,2026-03-28T05:21:57,15th March 2026 XOP sector analysis & Discord trade planning video for L2 members,https://venture-charts.com/15th-march-2026-xop-sector-analysis-discord-trade-planning-video-for-l2-members/,20,true,0,XOP,tradePlanning,Membership Required You must be a member to access this content. View Membership Levels Already a member? Log in here
post,2026-03-25T06:54:18,BTC analysis 25th March 2026,https://venture-charts.com/btc-analysis-25th-march-2026/,122,false,1,BTC|NAS100,supplyDemand|moneyFlow|timeCycle|correlatedMarkets|riskControl,“On the ltf BTC‘s conditions have somewhat improvedand we would anticipate this given the move into the ltf pivot. The forecast for sometime in this market has been another consolidation period which could test range highs (around $76-$80k) and that is due to the amount of time this market needs to consume in this phase….
